timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744890649035,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 37: http://localhost:8080/cars/rent/ABC-${regNum}1000,Scenario 2 - Rent Cars 2-1,text,false,,1185,0,1,3,http://localhost:8080/cars/rent/ABC-${regNum}1000,0,0,0
1744890649035,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1000,Scenario 3 - Return Cars 3-1,text,false,,1193,0,1,3,http://localhost:8080/cars/return/ABC-${returnRegNum}1000,0,0,0
1744890649036,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}11001,Scenario 3 - Return Cars 3-1,text,false,,1198,0,1,3,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}11001,0,0,0
1744890649036,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: http://localhost:8080/cars/rent/ABC-ABC-${regNum}11001,Scenario 2 - Rent Cars 2-1,text,false,,1190,0,1,3,http://localhost:8080/cars/rent/ABC-ABC-${regNum}11001,0,0,0
1744890649036,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 45: http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110021,Scenario 2 - Rent Cars 2-1,text,false,,1196,0,1,3,http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110021,0,0,0
1744890649036,26,GET All Cars,200,,Scenario 1 - Get All Cars 1-1,text,true,,174,178,1,1,http://localhost:8080/cars,23,0,10
1744890649061,1,GET All Cars,200,,Scenario 1 - Get All Cars 1-1,text,true,,174,178,1,1,http://localhost:8080/cars,1,0,0
1744890649062,1,GET All Cars,200,,Scenario 1 - Get All Cars 1-1,text,true,,174,178,1,1,http://localhost:8080/cars,1,0,0
1744890649063,0,GET All Cars,200,,Scenario 1 - Get All Cars 1-1,text,true,,174,178,1,1,http://localhost:8080/cars,0,0,0
1744890649064,1,GET All Cars,200,,Scenario 1 - Get All Cars 1-1,text,true,,174,178,1,1,http://localhost:8080/cars,1,0,0
1744890649088,1,GET All Cars,200,,Scenario 1 - Get All Cars 1-2,text,true,,174,178,1,1,http://localhost:8080/cars,1,0,0
1744890649089,1,GET All Cars,200,,Scenario 1 - Get All Cars 1-2,text,true,,174,178,1,1,http://localhost:8080/cars,1,0,0
1744890649090,0,GET All Cars,200,,Scenario 1 - Get All Cars 1-2,text,true,,174,178,1,1,http://localhost:8080/cars,0,0,0
1744890649091,0,GET All Cars,200,,Scenario 1 - Get All Cars 1-2,text,true,,174,178,1,1,http://localhost:8080/cars,0,0,0
1744890649092,1,GET All Cars,200,,Scenario 1 - Get All Cars 1-2,text,true,,174,178,1,1,http://localhost:8080/cars,1,0,0
