timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744890649035,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1000,Scenario 3 - Return Cars 3-1,text,false,,1193,0,1,3,http://localhost:8080/cars/return/ABC-${returnRegNum}1000,0,0,0
1744890649036,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}11001,Scenario 3 - Return Cars 3-1,text,false,,1198,0,1,3,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}11001,0,0,0
1744890649111,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1002,Scenario 3 - Return Cars 3-2,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1002,0,0,0
1744890649111,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110032,Scenario 3 - Return Cars 3-2,text,false,,1199,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110032,0,0,0
1744890649227,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1004,Scenario 3 - Return Cars 3-3,text,false,,1193,0,1,3,http://localhost:8080/cars/return/ABC-${returnRegNum}1004,0,0,0
1744890649246,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110054,Scenario 3 - Return Cars 3-3,text,false,,1199,0,1,3,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110054,0,0,0
1744890649311,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1006,Scenario 3 - Return Cars 3-4,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1006,0,0,0
1744890649312,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110076,Scenario 3 - Return Cars 3-4,text,false,,1199,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110076,0,0,0
1744890649414,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1008,Scenario 3 - Return Cars 3-5,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1008,0,0,0
1744890649415,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110098,Scenario 3 - Return Cars 3-5,text,false,,1199,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110098,0,0,0
